time;SM_generator_cePu;SM_generator_PePu;SM_generator_cmPu;SM_generator_PmPu;SM_generator_ufPu;SM_generator_efdPu;SM_generator_omegaPu;SM_generator_theta;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_PGen;SM_generator_QGen;SM_generator_UPu;SM_generator_IStatorPu;SM_generator_IRotorPu;SM_generator_UStatorPu;SM_generator_QStatorPu;SM_generator_thetaInternal;
1.03072;0.019054;0.019126;0.880544;0.883906;0.002187;5.000000;1.003819;1.242538;0.000000;21.209179;0.000000;2120.917947;0.378368;56.054473;4.270923;0.378368;21.209179;0.356371;
1.03174;0.018953;0.019028;0.879806;0.883277;0.002187;5.000000;1.003945;1.243787;-0.000000;21.099856;-0.000000;2109.985598;0.377391;55.909819;4.280288;0.377391;21.099856;0.352514;
1.03277;0.018857;0.018933;0.879069;0.882647;0.002187;5.000000;1.004071;1.245077;0.000000;20.995002;0.000000;2099.500179;0.376452;55.770726;4.289293;0.376452;20.995002;0.348732;
1.03379;0.018764;0.018843;0.878332;0.882018;0.002187;5.000000;1.004196;1.246406;-0.000000;20.894422;-0.000000;2089.442211;0.375550;55.636976;4.297952;0.375550;20.894422;0.345025;
1.03482;0.018675;0.018756;0.877597;0.881390;0.002187;5.000000;1.004322;1.247776;-0.000000;20.797931;-0.000000;2079.793125;0.374681;55.508361;4.306279;0.374681;20.797931;0.341392;
1.03584;0.018589;0.018672;0.876862;0.880762;0.002187;5.000000;1.004448;1.249187;0.000000;20.705352;0.000000;2070.535220;0.373847;55.384679;4.314287;0.373847;20.705352;0.337832;
1.03686;0.018507;0.018592;0.876127;0.880134;0.002187;5.000000;1.004573;1.250638;-0.000000;20.616516;-0.000000;2061.651615;0.373044;55.265737;4.321990;0.373044;20.616516;0.334343;
1.03789;0.018429;0.018515;0.875394;0.879507;0.002187;5.000000;1.004699;1.252129;0.000000;20.531262;0.000000;2053.126212;0.372272;55.151350;4.329398;0.372272;20.531262;0.330925;
1.03891;0.018353;0.018441;0.874661;0.878881;0.002187;5.000000;1.004824;1.253661;0.000000;20.449437;0.000000;2044.943657;0.371529;55.041339;4.336525;0.371529;20.449437;0.327577;
1.03994;0.018280;0.018371;0.873929;0.878254;0.002187;5.000000;1.004949;1.255233;-0.000000;20.370893;-0.000000;2037.089301;0.370815;54.935534;4.343382;0.370815;20.370893;0.324297;
1.04096;0.018210;0.018303;0.873198;0.877629;0.002187;5.000000;1.005074;1.256845;-0.000000;20.295492;-0.000000;2029.549167;0.370128;54.833769;4.349978;0.370128;20.295492;0.321084;
1.04198;0.018143;0.018237;0.872468;0.877004;0.002187;5.000000;1.005199;1.258498;0.000000;20.223099;0.000000;2022.309916;0.369467;54.735887;4.356326;0.369467;20.223099;0.317938;
1.04301;0.018078;0.018175;0.871738;0.876379;0.002187;5.000000;1.005324;1.260191;-0.000000;20.153588;-0.000000;2015.358816;0.368832;54.641737;4.362434;0.368832;20.153588;0.314856;
1.04403;0.018016;0.018114;0.871009;0.875755;0.002187;5.000000;1.005449;1.261924;0.000000;20.086837;0.000000;2008.683715;0.368220;54.551171;4.368312;0.368220;20.086837;0.311838;
1.04506;0.017956;0.018057;0.870281;0.875131;0.002187;5.000000;1.005574;1.263697;-0.000000;20.022730;-0.000000;2002.273007;0.367632;54.464051;4.373970;0.367632;20.022730;0.308883;
1.04608;0.017899;0.018001;0.869553;0.874508;0.002187;5.000000;1.005698;1.265510;0.000000;19.961156;0.000000;1996.115613;0.367067;54.380242;4.379417;0.367067;19.961156;0.305989;
1.0471;0.017844;0.017948;0.868826;0.873885;0.002187;5.000000;1.005823;1.267363;-0.000000;19.902009;-0.000000;1990.200948;0.366522;54.299616;4.384660;0.366522;19.902009;0.303156;
1.04813;0.017791;0.017896;0.868100;0.873263;0.002187;5.000000;1.005947;1.269256;0.000000;19.845189;0.000000;1984.518905;0.365999;54.222047;4.389708;0.365999;19.845189;0.300382;
1.04915;0.017740;0.017847;0.867375;0.872642;0.002187;5.000000;1.006072;1.271189;0.000000;19.790598;0.000000;1979.059824;0.365495;54.147417;4.394569;0.365495;19.790598;0.297665;
1.05018;0.017690;0.017800;0.866651;0.872020;0.002187;5.000000;1.006196;1.273163;-0.000000;19.738145;-0.000000;1973.814477;0.365010;54.075612;4.399250;0.365010;19.738145;0.295006;
1.0512;0.017643;0.017754;0.865927;0.871400;0.002187;5.000000;1.006320;1.275176;-0.000000;19.687740;-0.000000;1968.774046;0.364544;54.006523;4.403759;0.364544;19.687740;0.292402;
1.05222;0.017597;0.017711;0.865204;0.870779;0.002187;5.000000;1.006444;1.277229;0.000000;19.639301;0.000000;1963.930100;0.364095;53.940043;4.408103;0.364095;19.639301;0.289852;
1.05325;0.017553;0.017669;0.864482;0.870160;0.002187;5.000000;1.006568;1.279322;-0.000000;19.592746;-0.000000;1959.274582;0.363663;53.876072;4.412287;0.363663;19.592746;0.287356;
1.05427;0.017511;0.017628;0.863760;0.869541;0.002187;5.000000;1.006692;1.281455;-0.000000;19.547998;-0.000000;1954.799787;0.363248;53.814512;4.416319;0.363248;19.547998;0.284912;
1.0553;0.017471;0.017590;0.863040;0.868922;0.002187;5.000000;1.006816;1.283628;0.000000;19.504983;0.000000;1950.498349;0.362848;53.755271;4.420204;0.362848;19.504983;0.282519;
1.05632;0.017431;0.017552;0.862320;0.868304;0.002187;5.000000;1.006939;1.285840;-0.000000;19.463632;-0.000000;1946.363222;0.362463;53.698259;4.423949;0.362463;19.463632;0.280176;
1.05734;0.017394;0.017517;0.861600;0.867686;0.002187;5.000000;1.007063;1.288092;0.000000;19.423877;0.000000;1942.387667;0.362093;53.643390;4.427559;0.362093;19.423877;0.277882;
1.05837;0.017357;0.017482;0.860882;0.867069;0.002187;5.000000;1.007186;1.290384;-0.000000;19.385652;-0.000000;1938.565238;0.361736;53.590581;4.431039;0.361736;19.385652;0.275635;
1.05939;0.017322;0.017449;0.860164;0.866452;0.002187;5.000000;1.007310;1.292716;-0.000000;19.348898;-0.000000;1934.889765;0.361393;53.539753;4.434396;0.361393;19.348898;0.273436;
1.06042;0.017289;0.017417;0.859447;0.865836;0.002187;5.000000;1.007433;1.295087;-0.000000;19.313553;-0.000000;1931.355348;0.361063;53.490831;4.437632;0.361063;19.313553;0.271282;
1.06144;0.017256;0.017386;0.858731;0.865220;0.002187;5.000000;1.007556;1.297498;0.000000;19.279563;0.000000;1927.956337;0.360745;53.443740;4.440755;0.360745;19.279563;0.269172;
1.06246;0.017225;0.017357;0.858016;0.864605;0.002187;5.000000;1.007679;1.299949;-0.000000;19.246873;-0.000000;1924.687326;0.360439;53.398411;4.443767;0.360439;19.246873;0.267107;
1.06349;0.017194;0.017329;0.857301;0.863990;0.002187;5.000000;1.007802;1.302439;0.000000;19.215431;0.000000;1921.543139;0.360145;53.354777;4.446674;0.360145;19.215431;0.265083;
1.06451;0.017165;0.017301;0.856587;0.863376;0.002187;5.000000;1.007925;1.304969;0.000000;19.185188;0.000000;1918.518821;0.359861;53.312773;4.449479;0.359861;19.185188;0.263102;
1.06554;0.017137;0.017275;0.855874;0.862762;0.002187;5.000000;1.008048;1.307538;-0.000000;19.156096;-0.000000;1915.609625;0.359588;53.272336;4.452187;0.359588;19.156096;0.261161;
1.06656;0.017110;0.017250;0.855162;0.862149;0.002187;5.000000;1.008170;1.310146;0.000000;19.128110;0.000000;1912.811010;0.359325;53.233407;4.454802;0.359325;19.128110;0.259259;
1.06861;0.017059;0.017202;0.853739;0.860924;0.002187;5.000000;1.008415;1.315482;-0.000000;19.075262;-0.000000;1907.526169;0.358829;53.159803;4.459771;0.358829;19.075262;0.255570;
1.07;0.017026;0.017172;0.852774;0.860092;0.002187;5.000000;1.008582;1.319198;-0.000000;19.041578;-0.000000;1904.157832;0.358512;53.112847;4.462959;0.358512;19.041578;0.253147;
1.07;0.998947;1.007519;0.852774;0.860092;0.002187;5.000000;1.008582;1.319198;22.260051;4.828831;2226.005123;482.883067;0.809945;28.122619;3.344590;0.809945;4.828831;0.607901;
1.07;0.998950;1.007523;0.852774;0.860093;0.002187;5.000000;1.008582;1.319201;22.260128;4.828972;2226.012825;482.897225;0.809949;28.122620;3.344567;0.809949;4.828972;0.607905;
1.07;0.998954;1.007526;0.852775;0.860093;0.002187;5.000000;1.008582;1.319204;22.260205;4.829114;2226.020527;482.911382;0.809953;28.122620;3.344544;0.809953;4.829114;0.607908;
1.07;0.998961;1.007533;0.852775;0.860093;0.002187;5.000000;1.008581;1.319209;22.260359;4.829397;2226.035930;482.939696;0.809960;28.122621;3.344498;0.809960;4.829397;0.607916;
1.07001;0.998974;1.007547;0.852775;0.860093;0.002187;5.000000;1.008581;1.319220;22.260667;4.829963;2226.066736;482.996322;0.809975;28.122622;3.344406;0.809975;4.829963;0.607931;
1.07001;0.999002;1.007575;0.852776;0.860094;0.002187;5.000000;1.008581;1.319241;22.261283;4.831096;2226.128341;483.109566;0.810005;28.122624;3.344222;0.810005;4.831096;0.607960;
1.07003;0.999057;1.007630;0.852778;0.860096;0.002187;5.000000;1.008581;1.319284;22.262515;4.833360;2226.251525;483.336014;0.810065;28.122630;3.343855;0.810065;4.833360;0.608019;
1.07006;0.999168;1.007741;0.852782;0.860099;0.002187;5.000000;1.008580;1.319371;22.264978;4.837888;2226.497793;483.788758;0.810184;28.122642;3.343122;0.810184;4.837888;0.608137;
1.07013;0.999389;1.007963;0.852790;0.860106;0.002187;5.000000;1.008579;1.319543;22.269899;4.846936;2226.989920;484.693636;0.810423;28.122675;3.341658;0.810423;4.846936;0.608373;
1.07025;0.999831;1.008406;0.852805;0.860119;0.002187;5.000000;1.008576;1.319888;22.279725;4.865009;2227.972550;486.500950;0.810898;28.122771;3.338743;0.810898;4.865009;0.608843;
1.07051;1.000711;1.009288;0.852837;0.860146;0.002187;5.000000;1.008571;1.320578;22.299314;4.901058;2229.931361;490.105814;0.811844;28.123082;3.332964;0.811844;4.901058;0.609779;
1.07102;1.002461;1.011042;0.852900;0.860201;0.002187;5.000000;1.008560;1.321955;22.338236;4.972766;2233.823572;497.276565;0.813714;28.124172;3.321607;0.813714;4.972766;0.611637;
1.07205;1.005917;1.014505;0.853028;0.860311;0.002187;5.000000;1.008538;1.324706;22.415093;5.114628;2241.509332;511.462786;0.817373;28.128168;3.299671;0.817373;5.114628;0.615291;
1.07307;1.009317;1.017911;0.853159;0.860424;0.002187;5.000000;1.008515;1.327449;22.490662;5.254384;2249.066151;525.438434;0.820925;28.134476;3.278748;0.820925;5.254384;0.618865;
1.07409;1.012662;1.021262;0.853293;0.860540;0.002187;5.000000;1.008492;1.330184;22.564983;5.392020;2256.498321;539.201996;0.824372;28.142972;3.258802;0.824372;5.392020;0.622364;
1.07512;1.015955;1.024559;0.853430;0.860657;0.002187;5.000000;1.008469;1.332912;22.638103;5.527530;2263.810262;552.752998;0.827717;28.153542;3.239795;0.827717;5.527530;0.625789;
1.07614;1.019198;1.027805;0.853569;0.860777;0.002187;5.000000;1.008445;1.335633;22.710063;5.660914;2271.006269;566.091397;0.830963;28.166076;3.221692;0.830963;5.660914;0.629142;
1.07717;1.022392;1.031001;0.853711;0.860900;0.002187;5.000000;1.008420;1.338345;22.780905;5.792176;2278.090477;579.217577;0.834114;28.180469;3.204459;0.834114;5.792176;0.632426;
1.07819;1.025539;1.034149;0.853856;0.861024;0.002187;5.000000;1.008395;1.341050;22.850668;5.921323;2285.066842;592.132251;0.837171;28.196624;3.188064;0.837171;5.921323;0.635643;
1.07921;1.028641;1.037251;0.854003;0.861151;0.002187;5.000000;1.008370;1.343747;22.919391;6.048364;2291.939139;604.836423;0.840138;28.214447;3.172473;0.840138;6.048364;0.638794;
1.08024;1.031699;1.040308;0.854152;0.861280;0.002187;5.000000;1.008344;1.346435;22.987110;6.173314;2298.710967;617.331351;0.843017;28.233850;3.157657;0.843017;6.173314;0.641883;
1.08126;1.034715;1.043322;0.854304;0.861410;0.002187;5.000000;1.008318;1.349115;23.053858;6.296185;2305.385758;629.618521;0.845810;28.254749;3.143586;0.845810;6.296185;0.644910;
1.08229;1.037690;1.046294;0.854459;0.861543;0.002187;5.000000;1.008291;1.351787;23.119668;6.416996;2311.966782;641.699627;0.848521;28.277064;3.130231;0.848521;6.416996;0.647878;
1.08331;1.040625;1.049225;0.854616;0.861678;0.002187;5.000000;1.008264;1.354450;23.184572;6.535765;2318.457153;653.576544;0.851151;28.300721;3.117565;0.851151;6.535765;0.650788;
1.08433;1.043523;1.052118;0.854775;0.861815;0.002187;5.000000;1.008237;1.357104;23.248598;6.652513;2324.859841;665.251308;0.853702;28.325647;3.105562;0.853702;6.652513;0.653642;
1.08536;1.046383;1.054973;0.854936;0.861954;0.002187;5.000000;1.008209;1.359749;23.311777;6.767261;2331.177671;676.726102;0.856178;28.351775;3.094195;0.856178;6.767261;0.656441;
1.08638;1.049208;1.057791;0.855100;0.862095;0.002187;5.000000;1.008181;1.362386;23.374133;6.880032;2337.413337;688.003237;0.858579;28.379040;3.083442;0.858579;6.880032;0.659188;
1.08741;1.051998;1.060574;0.855266;0.862238;0.002187;5.000000;1.008152;1.365013;23.435694;6.990851;2343.569402;699.085135;0.860908;28.407382;3.073277;0.860908;6.990851;0.661882;
1.08843;1.054754;1.063323;0.855434;0.862383;0.002187;5.000000;1.008123;1.367631;23.496483;7.099743;2349.648306;709.974315;0.863168;28.436742;3.063679;0.863168;7.099743;0.664526;
1.08945;1.057478;1.066038;0.855605;0.862530;0.002187;5.000000;1.008094;1.370239;23.556524;7.206734;2355.652374;720.673382;0.865360;28.467064;3.054625;0.865360;7.206734;0.667121;
